running ljmd without optimizations
LJMD version 1.200
Startup time:      0.004s
Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
    4000          52.04656382          16.60007849        -153.99306606        -137.39298757
    4100          56.74152366          18.09752033        -155.56836127        -137.47084094
    4200          51.99622571          16.58402332        -154.04210965        -137.45808633
    4300          51.52730329          16.43446208        -153.89678834        -137.46232627
    4400          53.09049345          16.93303638        -154.37632425        -137.44328787
    4500          55.29208351          17.63522621        -154.99607382        -137.36084761
    4600          50.51256642          16.11081512        -153.47869823        -137.36788311
    4700          54.83448522          17.48927676        -154.82547034        -137.33619358
    4800          51.58581153          16.45312308        -153.90675479        -137.45363171
    4900          44.19403835          14.09554160        -151.44178900        -137.34624740
    5000          51.38618162          16.38945179        -153.81976348        -137.43031169
    5100          51.58092844          16.45156564        -153.88916471        -137.43759908
    5200          52.13938696          16.62968413        -153.91400173        -137.28431760
    5300          55.64767467          17.74864083        -155.13134064        -137.38269981
    5400          51.63580043          16.46906688        -153.85554789        -137.38648101
    5500          51.46478502          16.41452208        -153.78560313        -137.37108105
    5600          50.83707726          16.21431678        -153.55413358        -137.33981680
    5700          52.36648393          16.70211595        -154.14768976        -137.44557381
    5800          53.44256016          17.04532688        -154.41244612        -137.36711923
    5900          55.98432195          17.85601336        -155.28225640        -137.42624304
    6000          54.61153850          17.41816864        -154.93051945        -137.51235081
    6100          56.35738459          17.97500045        -155.41703623        -137.44203578
    6200          49.51811930          15.79363952        -153.17547564        -137.38183612
    6300          52.82866229          16.84952620        -154.32583428        -137.47630808
    6400          52.05142108          16.60162770        -153.95707000        -137.35544230
    6500          52.64123824          16.78974792        -154.24254513        -137.45279721
    6600          53.60393358          17.09679640        -154.44768732        -137.35089092
    6700          54.87696192          17.50282456        -154.85807288        -137.35524832
    6800          48.78763933          15.56065536        -152.95097291        -137.39031755
    6900          53.70155969          17.12793393        -154.55775573        -137.42982181
    7000          52.48279273          16.73921225        -154.14492267        -137.40571042
    7100          47.22549910          15.06241593        -152.49179656        -137.42938063
    7200          51.24268245          16.34368320        -153.71081654        -137.36713333
    7300          53.32667932          17.00836708        -154.36360853        -137.35524146
    7400          54.20057762          17.28709403        -154.61138183        -137.32428779
    7500          52.39167669          16.71015110        -154.07337863        -137.36322753
    7600          48.53627260          15.48048278        -152.85896712        -137.37848434
    7700          48.45063068          15.45316758        -152.89042337        -137.43725580
    7800          49.26350459          15.71243101        -153.13422165        -137.42179064
    7900          56.44525381          18.00302604        -155.39693855        -137.39391250
    8000          44.57353224          14.21657992        -151.51211067        -137.29553075
    8100          54.50563795          17.38439201        -154.73187834        -137.34748633
    8200          53.97517795          17.21520356        -154.54312464        -137.32792109
    8300          46.60324509          14.86395008        -152.10909168        -137.24514160
    8400          49.73181809          15.86179804        -153.14267540        -137.28087736
    8500          47.53535411          15.16124315        -152.46521551        -137.30397236
    8600          55.74220980          17.77879249        -155.19805934        -137.41926685
    8700          50.42966992          16.08437556        -153.42002513        -137.33564957
    8800          52.01211344          16.58909066        -153.99278506        -137.40369440
    8900          48.96335562          15.61669949        -152.92524330        -137.30854381
    9000          51.50740419          16.42811532        -153.79997399        -137.37185867
