running hybrid ljmd with 1 process 32 threads
Running with OpenMPI using 1 process
Running with OpenMP using 32 threads
LJMD version 1.500
Startup time: 0.0039250851s
Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
    3900          52.18995103          16.64581137        -154.10785072        -137.46203935
    4000          52.04638886          16.60002269        -153.99302657        -137.39300388
    4100          56.74222328          18.09774347        -155.56859895        -137.47085549
    4200          51.99618150          16.58400922        -154.04212322        -137.45811400
    4300          51.52593085          16.43402434        -153.89634880        -137.46232446
    4400          53.08919220          16.93262135        -154.37592777        -137.44330642
    4500          55.29028184          17.63465157        -154.99562091        -137.36096934
    4600          50.51253410          16.11080482        -153.47484982        -137.36404500
    4700          54.84786877          17.49354539        -154.83387567        -137.34033027
    4800          51.57529948          16.44977030        -153.90768157        -137.45791127
    4900          44.16125672          14.08508601        -151.43551435        -137.35042834
    5000          51.47327178          16.41722890        -153.85189823        -137.43466933
    5100          51.91175822          16.55708270        -153.98730394        -137.43022124
    5200          51.78751782          16.51745663        -153.84559746        -137.32814083
    5300          54.77381140          17.46992504        -154.87986133        -137.40993629
    5400          50.67916764          16.16395203        -153.51484126        -137.35088923
    5500          51.43593594          16.40532076        -153.75668586        -137.35136510
    5600          50.15890867          15.99801716        -153.28302201        -137.28500485
    5700          54.09302450          17.25279032        -154.65504766        -137.40225734
    5800          54.70247191          17.44717155        -154.80996122        -137.36278967
    5900          51.72359702          16.49706931        -153.83240187        -137.33533256
    6000          51.16466431          16.31879958        -153.72835129        -137.40955172
    6100          52.22241502          16.65616565        -154.13199660        -137.47583095
    6200          50.01741407          15.95288793        -153.22209239        -137.26920446
    6300          50.32312765          16.05039426        -153.51482672        -137.46443246
    6400          53.49967544          17.06354361        -154.45666147        -137.39311786
    6500          49.39944553          15.75578892        -153.21962846        -137.46383954
    6600          50.31673663          16.04835586        -153.44589995        -137.39754408
    6700          53.41093900          17.03524142        -154.44869995        -137.41345853
    6800          53.90559605          17.19301064        -154.53998155        -137.34697091
    6900          57.08391318          18.20672432        -155.56563595        -137.35891162
    7000          54.49221003          17.38010922        -154.74284320        -137.36273398
    7100          51.95414021          16.57060029        -153.97166800        -137.40106771
    7200          53.28182537          16.99406106        -154.32105770        -137.32699664
    7300          53.69717744          17.12653622        -154.48107945        -137.35454323
    7400          50.88848568          16.23071332        -153.59351728        -137.36280396
    7500          48.01074997          15.31286908        -152.65562570        -137.34275662
    7600          52.99597460          16.90288991        -154.24191872        -137.33902881
    7700          51.55398924          16.44297347        -153.75497992        -137.31200645
    7800          52.83970273          16.85304751        -154.16882654        -137.31577902
    7900          54.36156730          17.33844116        -154.70898032        -137.37053916
    8000          58.84248180          18.76761394        -156.14234673        -137.37473279
    8100          48.63901268          15.51325139        -152.87218718        -137.35893579
    8200          51.67222102          16.48068310        -153.84753999        -137.36685689
    8300          49.99440127          15.94554807        -153.33920166        -137.39365359
    8400          49.86015095          15.90272938        -153.23755649        -137.33482712
    8500          47.42055851          15.12462948        -152.46333598        -137.33870650
    8600          51.42522893          16.40190580        -153.80294947        -137.40104367
    8700          50.57850253          16.13184523        -153.47867414        -137.34682891
    8800          47.50810006          15.15255057        -152.54590909        -137.39335853
    8900          50.93169258          16.24449402        -153.67751354        -137.43301953
    9000          47.20811090          15.05687002        -152.45432400        -137.39745397
    9100          48.03162494          15.31952708        -152.70142643        -137.38189935
    9200          50.71644948          16.17584295        -153.62928599        -137.45344305
    9300          48.59424799          15.49897384        -152.92863983        -137.42966600
    9400          51.29871334          16.36155407        -153.75149965        -137.38994558
    9500          44.45790783          14.17970190        -151.51409783        -137.33439594
    9600          49.99545123          15.94588295        -153.39082190        -137.44493895
    9700          51.29932431          16.36174894        -153.76861667        -137.40686774
    9800          51.60605024          16.45957815        -153.78806756        -137.32848941
    9900          53.16529199          16.95689312        -154.39058584        -137.43369271
   10000          55.12274050          17.58121482        -154.94899922        -137.36778441
Simulation Done. Run time: 8.1209421158s
Running with OpenMPI using 1 process
Running with OpenMP using 32 threads
LJMD version 1.500
Startup time: 0.0469019413s
Starting simulation with 2916 atoms for 1000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          71.99368194         625.55751531       -4527.08079059       -3901.52327528
      10          68.60831055         596.14181574       -4497.58079022       -3901.43897448
      20          64.89174443         563.84834495       -4465.41237132       -3901.56402636
      30          64.77953782         562.87337480       -4464.45884194       -3901.58546713
      40          65.07687785         565.45698058       -4467.29673078       -3901.83975020
      50          61.95477889         538.32887135       -4440.15998060       -3901.83110925
      60          61.17560473         531.55857934       -4433.35990407       -3901.80132473
      70          66.08898965         574.25128208       -4476.05680362       -3901.80552154
      80          68.51477355         595.32906702       -4497.18783244       -3901.85876542
      90          66.90889172         581.37546136       -4483.37711146       -3902.00165010
     100          64.68929464         562.08924631       -4464.30521481       -3902.21596850
     110          63.11427415         548.40379674       -4450.24254165       -3901.83874491
     120          61.89642500         537.82183080       -4439.77485409       -3901.95302329
     130          58.55937697         508.82601597       -4410.97100587       -3902.14498990
     140          55.58853458         483.01218429       -4385.21761508       -3902.20543079
     150          57.82444851         502.44017752       -4404.77139596       -3902.33121843
     160          60.49428299         525.63853291       -4428.10427066       -3902.46573775
     170          59.00832374         512.72694192       -4415.25886111       -3902.53191920
     180          58.15325973         505.29723838       -4407.88234786       -3902.58510948
     190          58.83655239         511.23441013       -4413.94815702       -3902.71374689
     200          59.26234200         514.93412213       -4417.65526119       -3902.72113906
     210          57.92443190         503.30893927       -4406.11666239       -3902.80772312
     220          54.62171098         474.61139480       -4377.16142114       -3902.55002633
     230          54.11383283         470.19841037       -4372.47907328       -3902.28066291
     240          58.39588842         507.40545389       -4409.46098322       -3902.05552933
     250          62.82054984         545.85160822       -4447.81352381       -3901.96191559
     260          64.22535272         558.05802652       -4460.17923030       -3902.12120378
     270          62.38742480         542.08815820       -4444.17187906       -3902.08372085
     280          58.13946915         505.17741113       -4407.57637240       -3902.39896126
     290          55.29755813         480.48387214       -4382.68036577       -3902.19649363
     300          56.62733142         492.03835369       -4394.45761140       -3902.41925771
     310          58.49375542         508.25582628       -4410.76096637       -3902.50514008
     320          57.71507583         501.48983161       -4404.10198481       -3902.61215321
     330          57.46641396         499.32919335       -4401.83021399       -3902.50102064
     340          57.23595346         497.32670793       -4399.80696012       -3902.48025219
     350          56.21427754         488.44930325       -4390.69320909       -3902.24390584
     360          56.80425376         493.57564274       -4395.85697645       -3902.28133371
     370          56.18468041         488.19213195       -4390.35637764       -3902.16424569
     380          54.09907897         470.07021322       -4372.09164774       -3902.02143453
     390          55.45982997         481.89386210       -4383.87946509       -3901.98560300
     400          59.05231702         513.10920223       -4415.00195546       -3901.89275323
     410          60.52608075         525.91482565       -4427.97978627       -3902.06496061
     420          57.71496207         501.48884309       -4403.86165740       -3902.37281432
     430          56.33019355         489.45650453       -4391.88472745       -3902.42822293
     440          57.28467538         497.75005570       -4400.02972874       -3902.27967304
     450          59.11158124         513.62415269       -4415.81365847       -3902.18950578
     460          63.41386366         551.00694833       -4453.20167934       -3902.19473101
     470          63.57471252         552.40457395       -4454.42772616       -3902.02315221
     480          58.99526581         512.61348076       -4414.49784063       -3901.88435987
     490          57.56030899         500.14505301       -4401.93622623       -3901.79117322
     500          60.11214716         522.31813131       -4424.10537657       -3901.78724526
     510          61.15153721         531.34945511       -4432.99589687       -3901.64644176
     520          62.83081934         545.94084049       -4447.52615511       -3901.58531461
     530          66.58419641         578.55416397       -4480.14877400       -3901.59461003
     540          64.58496728         561.18273950       -4462.99140251       -3901.80866301
     550          60.69239119         527.35990725       -4429.34491825       -3901.98501101
