# Processes   Time_108          Time_2916         Time_78732
1             0.9556691647     33.8207180500     225.3376438618
2             0.6960499287     26.4901950359     168.0193998814
4             0.3200571537     16.7170550823     97.0657589436
8             0.1476550102     9.8475270271      52.0250449181
16            0.1398870945     5.6231949329      28.5669260025
32            0.1577219963     3.6102581024      16.3669350147

