# Threads    Time_108          Time_2916         Time_78732
1           0.8255319595     32.7311627865     181.9654572010
2           0.3830399513     17.1561470032     91.1545469761
4           0.4132947922     9.2293009758      45.7405040264
8           0.6105418205     5.2156121731      23.1519768238
16          0.9047338963     3.0688030720      12.1423759460
32          1.3360850811     2.7248189449      7.3133518696

