# Configuration   Time_108          Time_2916         Time_78732
1x32             8.1209421158     36.4920201302     176.1174750328
2x16             4.2351479530     27.7729599476     133.0526621342
4x8              1.9639511108     17.1441390514     78.1650159359
8x4              0.9372670650     9.8957531452      42.4848921299
16x2             0.4397249222     5.6888830662      22.8377821445
32x1             0.1728520393     3.5954530239      13.7018878460

